timestamp,func_id,func_name,color
1508190311.064206,920,PyString_FromFormatV,grey
1508190311.065202,1370,_PyImport_AcquireLock,grey
1508190311.066162,1080,PyType_GenericAlloc,grey
1508190311.066247,4570,intel_idle,grey
1508190311.067115,840,PyParser_AddToken,grey
1508190311.067272,3370,dyntick_save_progress_counter,grey
1508190311.068076,1250,[unknown],grey
1508190311.069049,1880,__memcmp_sse4_1,grey
1508190311.069387,1250,[unknown],grey
1508190311.070028,1750,__inode_permission,grey
1508190311.071013,7660,unmapped_area_topdown,grey
1508190311.072016,1910,__memcpy_ssse3_back,grey
1508190311.073012,1510,__audit_syscall_entry,grey
1508190311.073273,5130,native_write_msr_safe,grey
1508190311.074003,4620,irq_return,grey
1508190311.075007,4620,irq_return,grey
1508190311.075977,400,PyImport_GetModuleDict,grey
1508190311.076929,1250,[unknown],grey
1508190311.077890,4670,kfree,grey
1508190311.078861,780,PyObject_Malloc,grey
1508190311.079247,4570,intel_idle,grey
1508190311.079839,200,PyDict_Keys,grey
1508190311.080836,340,PyEval_EvalFrameEx,grey
1508190311.081824,4850,malloc_consolidate,grey
1508190311.082280,4560,int_sqrt,grey
1508190311.082813,1460,_PyType_Lookup,grey
1508190311.083816,840,PyParser_AddToken,grey
1508190311.084811,1250,[unknown],grey
1508190311.085788,230,PyDict_Next,grey
1508190311.086282,4700,ktime_get,grey
1508190311.086741,170,PyDict_GetItem,grey
1508190311.087712,1250,[unknown],grey
1508190311.088684,840,PyParser_AddToken,grey
1508190311.089247,4570,intel_idle,grey
1508190311.089660,2960,clear_page_c,grey
1508190311.090643,1250,[unknown],grey
1508190311.091631,170,PyDict_GetItem,grey
1508190311.092263,5620,perf_pmu_sched_task,grey
1508190311.092625,1250,[unknown],grey
1508190311.093618,840,PyParser_AddToken,grey
1508190311.094613,1250,[unknown],grey
1508190311.095603,1250,[unknown],grey
1508190311.096562,1250,[unknown],grey
1508190311.097526,1000,PyTokenizer_FromString,grey
1508190311.098247,4570,intel_idle,grey
1508190311.098498,1010,PyTokenizer_Get,grey
1508190311.099479,930,PyString_FromString,grey
1508190311.100465,170,PyDict_GetItem,grey
1508190311.101268,6320,schedule_timeout,grey
1508190311.101459,1250,[unknown],grey
1508190311.102452,840,PyParser_AddToken,grey
1508190311.103446,4830,malloc,grey
1508190311.104441,230,PyDict_Next,grey
1508190311.105440,2740,anon_vma_interval_tree_insert,grey
1508190311.106401,1010,PyTokenizer_Get,grey
1508190311.107248,4570,intel_idle,grey
1508190311.107365,780,PyObject_Malloc,grey
1508190311.108338,2410,_int_realloc,grey
1508190311.109321,1250,[unknown],grey
1508190311.110254,7600,try_to_wake_up,grey
1508190311.110309,2400,_int_malloc,grey
1508190311.111298,540,PyNode_AddChild,grey
1508190311.112291,1250,[unknown],grey
1508190311.113263,5620,perf_pmu_sched_task,grey
1508190311.113287,3660,free,grey
1508190311.114284,1180,PyUnicodeUCS4_DecodeUTF8Stateful,grey
1508190311.115341,6410,sha_transform,grey
1508190311.116247,4570,intel_idle,grey
1508190311.116275,2690,_raw_spin_unlock_irqrestore,grey
1508190311.116305,1880,__memcmp_sse4_1,grey
1508190311.117260,1250,[unknown],grey
1508190311.118223,1250,[unknown],grey
1508190311.119192,1250,[unknown],grey
1508190311.119282,4570,intel_idle,grey
1508190311.119502,1250,[unknown],grey
1508190311.120170,1250,[unknown],grey
1508190311.121153,1250,[unknown],grey
1508190311.122142,1610,__d_lookup_rcu,grey
1508190311.123133,5140,next_zones_zonelist,grey
1508190311.124127,2780,arch_vma_name,grey
1508190311.125123,2370,_dl_lookup_symbol_x,grey
1508190311.125248,4570,intel_idle,grey
1508190311.126096,3020,copy_page_rep,grey
1508190311.127058,2920,check_match.9513,grey
1508190311.128027,3260,do_lookup_x,grey
1508190311.128250,1730,__hrtimer_run_queues,grey
1508190311.129005,3020,copy_page_rep,grey
1508190311.129997,2370,_dl_lookup_symbol_x,grey
1508190311.130437,4570,intel_idle,grey
1508190311.130986,3260,do_lookup_x,grey
1508190311.131249,4570,intel_idle,grey
1508190311.131974,2370,_dl_lookup_symbol_x,grey
1508190311.132968,2370,_dl_lookup_symbol_x,grey
1508190311.133962,2370,_dl_lookup_symbol_x,grey
1508190311.134957,3260,do_lookup_x,grey
1508190311.135937,2370,_dl_lookup_symbol_x,grey
1508190311.136900,2370,_dl_lookup_symbol_x,grey
1508190311.137284,4570,intel_idle,grey
1508190311.137871,2370,_dl_lookup_symbol_x,grey
1508190311.138848,2380,_dl_relocate_object,grey
1508190311.139833,3260,do_lookup_x,grey
1508190311.140822,2370,_dl_lookup_symbol_x,grey
1508190311.141814,3260,do_lookup_x,grey
1508190311.142808,2370,_dl_lookup_symbol_x,grey
1508190311.143805,3260,do_lookup_x,grey
1508190311.144805,3260,do_lookup_x,grey
1508190311.145792,2370,_dl_lookup_symbol_x,grey
1508190311.146757,2370,_dl_lookup_symbol_x,grey
1508190311.147727,2370,_dl_lookup_symbol_x,grey
1508190311.148705,2370,_dl_lookup_symbol_x,grey
1508190311.148815,1250,[unknown],grey
1508190311.149690,2370,_dl_lookup_symbol_x,grey
1508190311.150678,2370,_dl_lookup_symbol_x,grey
1508190311.151671,7680,up_read,grey
1508190311.152666,2370,_dl_lookup_symbol_x,grey
1508190311.153656,4570,intel_idle,grey
1508190311.153664,3260,do_lookup_x,grey
1508190311.154662,3260,do_lookup_x,grey
